回合,分数,平均分数
892,1.0,-0.05
893,1.0,-0.03
894,1.0,-0.03
895,-1.0,-0.05
896,1.0,-0.05
897,1.0,-0.05
898,-1.0,-0.07
899,-1.0,-0.07
900,1.0,-0.07
901,-1.0,-0.07
902,-1.0,-0.07
903,1.0,-0.07
904,-1.0,-0.07
905,1.0,-0.07
906,-1.0,-0.07
907,-1.0,-0.07
908,-1.0,-0.09
909,-1.0,-0.11
910,1.0,-0.11
911,-1.0,-0.11
912,1.0,-0.1
913,-1.0,-0.1
914,-1.0,-0.12
915,1.0,-0.12
916,-1.0,-0.12
917,1.0,-0.1
918,1.0,-0.08
919,1.0,-0.06
920,-1.0,-0.06
921,1.0,-0.04
922,-1.0,-0.04
923,-1.0,-0.06
924,1.0,-0.04
925,1.0,-0.02
926,1.0,0.0
927,-1.0,-0.01
928,0.0,0.0
929,1.0,0.02
930,1.0,0.02
931,-1.0,0.0
932,-1.0,0.0
933,1.0,0.0
934,1.0,0.02
935,1.0,0.04
936,-1.0,0.02
937,1.0,0.04
938,1.0,0.04
939,-1.0,0.02
940,1.0,0.02
941,-1.0,0.0
942,1.0,0.0
943,1.0,0.02
944,-1.0,0.02
945,-1.0,0.02
946,1.0,0.02
947,-1.0,0.02
948,0.0,0.01
949,1.0,0.03
950,-1.0,0.02
951,-1.0,0.0
952,-1.0,0.0
953,-1.0,0.0
954,1.0,0.02
955,1.0,0.04
956,-1.0,0.02
957,-1.0,0.02
958,1.0,0.04
959,1.0,0.06
960,1.0,0.06
961,1.0,0.06
962,-1.0,0.04
963,1.0,0.05
964,-1.0,0.05
965,-1.0,0.03
966,1.0,0.03
967,-1.0,0.03
968,1.0,0.05
969,-1.0,0.03
970,1.0,0.05
971,-1.0,0.05
972,1.0,0.05
973,1.0,0.05
974,-1.0,0.03
975,-1.0,0.01
976,0.0,0.0
977,1.0,0.0
978,-1.0,0.0
979,-1.0,-0.02
980,-1.0,-0.04
981,0.0,-0.04
982,-1.0,-0.04
983,-1.0,-0.06
984,1.0,-0.04
985,-1.0,-0.04
986,-1.0,-0.06
987,-1.0,-0.06
988,1.0,-0.06
989,-1.0,-0.06
990,1.0,-0.04
991,-1.0,-0.04
992,-1.0,-0.06
993,-1.0,-0.08
994,1.0,-0.08
995,-1.0,-0.08
996,-1.0,-0.1
997,0.0,-0.11
998,-1.0,-0.11
999,-1.0,-0.11
1000,1.0,-0.11
